Ciudad,Estado,C.P., TARIFA 0 , TARIFA 1 , TARIFA 2 , TARIFA 3 , TARIFA 4 , TARIFA 5 , TARIFA 6 ,TARIMA 1,TARIMA 2
JALAPA,Veracruz,91000–91199,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
ORIZABA,Veracruz,94300–94399,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
IRAPUATO,Guanajuato,36500–36819,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
MOROLEON,Guanajuato,38800–38899,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
GUANAJUATO,Guanajuato,36000–36295,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
LEON,Guanajuato,37000–37499,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
ACAPULCO,Guerrero,39300–39936,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
SAN LUIS POTOSI,San Luis Potosi,78000–78399,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
RINCON DE SAN FRANCISCO,Guanajuato,36300–36329,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
URUAPAN,Michoacan,60000–60199,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
ZAMORA DE HIDALGO,Michoacan,59600–59849,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
LAGOS DE MORENO,Jalisco,47400–47599,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
SAN JUAN DE LOS LAGOS,Jalisco,47000–47149,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
VERACRUZ,Veracruz,91700–91949,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
SILAO,Guanajuato,36100–36139,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
OAXACA,Oaxaca,68000–68199,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
SALINA CRUZ,Oaxaca,70600–70619,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
AGUASCALIENTES,Aguascalientes,20000–20999,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
TAMPICO,Tamaulipas,89000–89499,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
GUADALAJARA,Jalisco,44100–44999,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
CIUDAD VALLES,San Luis Potosi,79000–79029,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
ZACATECAS,Zacatecas,98000–98499,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
XICOTENCATL,Tamaulipas,89725–89730,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
ZAPOTLANEJO,Jalisco,45430–45449,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
ATOTONILCO EL ALTO,Jalisco,47750–47779,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
CIUDAD GUZMAN,Jalisco,49000–49099,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
VICTOR ROSALES,Zacatecas,98500–98509,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
COATZACOALCOS,Veracruz,96400–96599,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
CIUDAD VICTORIA,Tamaulipas,87000–87099,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
MINATITLAN,Veracruz,96700–96799,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
COLIMA,Colima,28000–28199,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
VILLAHERMOSA,Tabascco,86000–86299,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
TECOMAN,Colima,28130–28139,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
MANZANILLO,Colima,28200–28869,$121.80,$133.40,$162.40,$203.00,$232.00,$290.00,$336.40,"$3,944.00","$3,248.00"
TEPIC,Nayarit,63000–63197,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
CARDENAS,Tabascco,86500–86729,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
SAN CRISTOBAL DE LAS CASAS,Chiapas,29200–29299,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
TUXTLA GUTIERREZ,Chiapas,29000–29139,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
PUERTO PARAISO,BCS,23450–23479,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
SALTILLO,Coahuila,25000–25299,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
PUERTO VALLARTA,Jalisco,48300–48339,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
DURANGO,Durango,34000–34299,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
CIUDAD DEL CARMEN,Campeche,24100–24199,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
TORREON,Coahuila,27000–27299,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
MONTERREY,Nuevo Leon,64000–64999,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
COMITAN,Chiapas,30000–30849,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
MONCLOVA,Coahuila,25600–25799,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
MAZATLAN,Sinaloa,82000–82199,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
CAMPECHE,Campeche,24000–24599,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
NUEVO LAREDO,Tamaulipas,88000–88199,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
REYNOSA,Tamaulipas,88500–88799,$185.60,$208.80,$232.00,$313.20,$336.40,$475.60,$556.80,"$6,728.00","$5,684.00"
TAPACHULA,Chiapas,30700–30899,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
PIEDRAS NEGRAS,Coahuila,26000–26099,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
MATAMOROS,Tamaulipas,87300–87499,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
SANTA BARBARA,Chihuahua,33800–33825,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
CARMEN,Campeche,24300–24349,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
CULIACAN ,Sinaloa,80000–80299,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
CHETUMAL,Quintana Roo,77000–77099,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
MERIDA,Yucatan,97000–97199,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
GUAMUCHIL,Sinaloa,81400–81419,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
CHIHUAHUA,Chihuahua,31000–31999,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
GUASAVE,Sinaloa,81000–81099,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
VALLADOLID,Yucatan,97780–97799,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
LOS MOCHIS,Sinaloa,81200–81399,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
DELICIAS,Chihuahua,33000–33199,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
CUAUHTEMOC,Chihuahua,31500–31629,$214.60,$232.00,$284.20,$359.60,$377.00,$545.20,$603.20,"$11,600.00","$10,208.00"
CANCUN,Quintana Roo,77500–77539,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
NAVOJOA,Sonora,85800–85839,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
COZUMEL,Quintana Roo,77600–77690,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
PLAYA DEL CARMEN,Quintana Roo,77710–77735,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
CIUDAD OBREGON,Sonora,85000–85099,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
TULUM,Quintana Roo,77760–77780,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
CIUDAD JUAREZ,Chihuahua,32000–32599,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
GUAYMAS,Sonora,85400–85509,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
CABO SAN LUCAS,BCS,23450–23597,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
HERMOSILLO,Sonora,83000–83199,$226.20,$272.60,$336.40,$411.80,$487.20,$649.60,$754.00,"$12,760.00","$11,368.00"
NACOZARI,Sonora,84240–84279,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
LA PAZ,BCS,23000–23099,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
HERMOSILLO,Sonora,83000–83199,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
MAGDALENA DE KINO,Sonora,84160–84199,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
TODOS SANTOS,BCS,23300–23310,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
CANANEA,Sonora,84620–84629,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
CABORCA,Sonora,83600–83619,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
NOGALES,Sonora,84000–84099,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
AGUAPRIETA,Sonora,84200–84219,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
CIUDAD CONSTITUCION,BCS,23600–23659,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
SAN JOSE DEL CABO,BCS,23400–23449,$261.00,$324.80,$394.40,$469.80,$556.80,$707.60,$928.00,"$14,500.00","$12,760.00"
PUERTO PEÑASCO,Sonora,83550–83579,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
LORETO,BCS,23880–23899,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
SANTA ROSALIA,BCS,23920–23929,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
MEXICALI,Baja California,21000–21399,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
SAN LUIS RIO COLORADO,Sonora,83400–83499,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
TIJUANA,Baja California,22000–22699,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
ROSARITO,Baja California,22700–22719,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
TECATE,Baja California,21400–21499,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
ENSENADA,Baja California,22800–22999,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
SAN QUINTIN,Baja California,22930–22949,$301.60,$406.00,$458.20,$533.60,$626.40,$812.00,"$1,044.00","$16,240.00","$14,152.00"
,,,,,,,,,,,
